kd_kecamatan;nm_kecamatan;geojson_kecamatan;warna_kecamatan
63.01.08;Tambang Ulang;55300320083500.geojson;#009900
63.01.01;Takisung;25061219081252.geojson;#0de70d
63.01.05;Bati-Bati;71061219081303.geojson;#880000
63.01.02;Jorong;34061219081408.geojson;#000099
63.01.03;Pelaihari;39061219081421.geojson;#DD9900
63.01.04;Kurau;30061219081442.geojson;#009999
63.01.07;Kintap;29061219081511.geojson;#ff0099
63.01.09;Batu Ampar;44061219081535.geojson;#990099
63.01.10;Bajuin;92061219081549.geojson;#662222
63.01.11;Bumi Makmur;58061219081604.geojson;#888
63.01.06;Panyipatan;100061219081653.geojson;#222
